epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1507.83,1.61742,2.36816,1.74432,0.27439,0.26049,0.20534,0.07371,2.08138,3.63256,2.12712,0.000666133,0.000666133,0.000666133
2,2969,1.73812,2.51112,1.81937,0.29528,0.24724,0.17865,0.0654,2.09295,3.1647,2.10748,0.00126683,0.00126683,0.00126683
3,4339.3,1.79388,2.62584,1.86314,0.2458,0.22884,0.15951,0.05597,2.11503,3.76228,2.18852,0.00180152,0.00180152,0.00180152
4,5732.9,1.82263,2.63207,1.87691,0.22917,0.20824,0.13964,0.05257,2.14328,4.01679,2.1579,0.001703,0.001703,0.001703
5,7208.51,1.82185,2.62763,1.87433,0.27966,0.28109,0.19323,0.06857,2.00323,3.14499,2.09209,0.001604,0.001604,0.001604
6,8661.29,1.854,2.67528,1.90563,0.27897,0.26637,0.19349,0.06828,1.99663,3.70923,2.08441,0.001505,0.001505,0.001505
7,10099.4,1.84186,2.6729,1.89004,0.29866,0.24441,0.19169,0.06987,2.04666,3.21526,2.09698,0.001406,0.001406,0.001406
8,1474.68,1.76997,2.58436,1.84597,0.27665,0.24798,0.18841,0.06478,2.04747,3.46439,2.11714,0.001307,0.001307,0.001307
9,2959.65,1.75194,2.53393,1.83178,0.29401,0.28989,0.2024,0.0765,2.06098,2.99128,2.0999,0.001208,0.001208,0.001208
10,4351.26,1.74157,2.52836,1.82097,0.32585,0.27741,0.23555,0.08459,2.00213,3.19085,2.08619,0.001109,0.001109,0.001109
11,5769.89,1.76775,2.48418,1.85178,0.28045,0.24577,0.19279,0.07202,1.97317,2.9798,2.06079,0.00101,0.00101,0.00101
12,7163.46,1.73822,2.50585,1.8104,0.31126,0.27447,0.24477,0.0873,1.9593,3.07063,2.034,0.000911,0.000911,0.000911
13,8526.28,1.72682,2.42641,1.81796,0.31457,0.26637,0.22915,0.08288,1.92549,3.29384,2.05231,0.000812,0.000812,0.000812
14,9979.1,1.71736,2.39018,1.80193,0.27433,0.30611,0.22154,0.08259,1.92522,3.09007,2.01388,0.000713,0.000713,0.000713
15,11415.9,1.69392,2.39439,1.77358,0.31135,0.27741,0.2373,0.08675,1.9344,3.02368,2.00767,0.000614,0.000614,0.000614
16,12704.6,1.668,2.37403,1.76622,0.31931,0.32082,0.24879,0.09024,1.91709,3.00526,1.99606,0.000515,0.000515,0.000515
17,14088.4,1.67667,2.32605,1.76694,0.31488,0.30169,0.24226,0.08611,1.96659,2.99189,2.03215,0.000416,0.000416,0.000416
18,15484.5,1.66585,2.30674,1.76455,0.31308,0.2936,0.24424,0.08558,1.92097,3.07768,2.0331,0.000317,0.000317,0.000317
19,16878.7,1.65898,2.26297,1.76841,0.32551,0.30022,0.25292,0.09053,1.93634,3.01241,2.03448,0.000218,0.000218,0.000218
20,18297.4,1.6306,2.2629,1.74355,0.33055,0.29948,0.25843,0.09183,1.926,2.92824,2.02659,0.000119,0.000119,0.000119
